cluster_1,cluster_2,cluster_3,question
"Knowledge, Creativity, and Skill-Building",Creative Writing & Arts,Poetic Structure,Compose a Haiku about a computer crash.
"Knowledge, Creativity, and Skill-Building",Creative Writing & Arts,Poetic Structure,Write a Limerick about a man from Nantucket (clean version).
"Knowledge, Creativity, and Skill-Building",Creative Writing & Arts,Poetic Structure,Free verse poem about the smell of rain on hot asphalt.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Mnemonic Devices,Create a catchy rhyme to remember the Periodic Table's noble gases.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Mnemonic Devices,Memory palace technique to remember a grocery list.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Mnemonic Devices,How to memorize a deck of cards in under 5 minutes.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Mnemonic Devices,Acronym to remember the OSI model layers.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Mnemonic Devices,Visualization trick to remember names of new people.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Literature Analysis,Analyze the role of the green light in *The Great Gatsby*.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Literature Analysis,Themes of duality in 'Jekyll and Hyde'.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Literature Analysis,Is Hamlet truly mad or just pretending? Provide evidence.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Literature Analysis,Symbolism of the conch in 'Lord of the Flies'.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Literature Analysis,Feminist critique of 'Pride and Prejudice'.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Socratic Method,Teach me about gravity by only asking me questions.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Socratic Method,Guide me to understand why printing money causes inflation using questions.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Socratic Method,Use the Socratic method to challenge my belief that the earth is flat.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Socratic Method,Help me realize the importance of voting through inquiry.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Socratic Method,Question me until I define what 'justice' means.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Historical Causation,What were the economic precursors that led to the fall of the Soviet Union?
"Knowledge, Creativity, and Skill-Building",Education & Learning,Historical Causation,How did the invention of the printing press lead to the Reformation?
"Knowledge, Creativity, and Skill-Building",Education & Learning,Historical Causation,Causes of WWI beyond the assassination of Archduke Ferdinand.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Historical Causation,Impact of the Silk Road on the spread of the Black Death.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Historical Causation,Did the Treaty of Versailles make WWII inevitable?
"Knowledge, Creativity, and Skill-Building",Education & Learning,Language Idioms,Explain the origin of the phrase 'bite the bullet'.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Language Idioms,What does 'raining cats and dogs' actually mean historically?
"Knowledge, Creativity, and Skill-Building",Education & Learning,Language Idioms,Origin of 'break a leg' in theater.
"Knowledge, Creativity, and Skill-Building",Education & Learning,Language Idioms,Why do we say 'spill the beans'?
"Knowledge, Creativity, and Skill-Building",Education & Learning,Language Idioms,Meaning and history of 'turning a blind eye'.
"Human Life, Behavior, and Relationships",Household & DIY,Smart Home,How can I set up an automation to turn on lights when I arrive home using Home Assistant?
"Human Life, Behavior, and Relationships",Household & DIY,Smart Home,Best Zigbee vs Z-Wave devices for a reliable mesh network.
"Human Life, Behavior, and Relationships",Household & DIY,Smart Home,Script to simulate occupancy when on vacation using smart bulbs.
"Human Life, Behavior, and Relationships",Household & DIY,Smart Home,Integrating a DIY ESP8266 sensor into Apple HomeKit.
"Human Life, Behavior, and Relationships",Household & DIY,Smart Home,Privacy-focused smart voice assistants that don't send audio to the cloud.
"Human Life, Behavior, and Relationships",Household & DIY,Woodworking,Step-by-step guide to building a simple floating shelf.
"Human Life, Behavior, and Relationships",Household & DIY,Woodworking,Difference between a cross-cut and rip-cut saw blade.
"Human Life, Behavior, and Relationships",Household & DIY,Woodworking,How to fix a wobble in a wooden chair leg.
"Human Life, Behavior, and Relationships",Household & DIY,Woodworking,Finishing techniques: Polyurethane vs Danish Oil.
"Human Life, Behavior, and Relationships",Household & DIY,Woodworking,Essential safety gear for using a table saw.
"Human Life, Behavior, and Relationships",Household & DIY,Energy Efficiency,Cheap ways to insulate old windows for the winter.
"Human Life, Behavior, and Relationships",Household & DIY,Energy Efficiency,Is a tankless water heater worth the investment?
"Human Life, Behavior, and Relationships",Household & DIY,Energy Efficiency,How to conduct a DIY home energy audit.
"Human Life, Behavior, and Relationships",Household & DIY,Energy Efficiency,Passive solar heating principles for south-facing windows.
"Human Life, Behavior, and Relationships",Household & DIY,Energy Efficiency,Smart thermostat settings to maximize savings.
"Human Life, Behavior, and Relationships",Household & DIY,Pest Control,Humane ways to get rid of a raccoon under my deck.
"Human Life, Behavior, and Relationships",Household & DIY,Pest Control,Natural remedies for ants in the kitchen.
"Human Life, Behavior, and Relationships",Household & DIY,Pest Control,How to identify bed bugs early.
"Human Life, Behavior, and Relationships",Household & DIY,Pest Control,Getting rid of fruit flies with household items.
"Human Life, Behavior, and Relationships",Household & DIY,Pest Control,Safe mosquito control for a backyard with pets.
"Human Life, Behavior, and Relationships",Household & DIY,Car Maintenance,How do I change the spark plugs on a 2015 Honda Civic?
"Human Life, Behavior, and Relationships",Household & DIY,Car Maintenance,Diagnosing a clicking noise when turning the steering wheel.
"Human Life, Behavior, and Relationships",Household & DIY,Car Maintenance,How to jump start a car safely.
"Human Life, Behavior, and Relationships",Household & DIY,Car Maintenance,When to change synthetic oil vs conventional oil.
"Human Life, Behavior, and Relationships",Household & DIY,Car Maintenance,Steps to replace a flat tire on the side of the road.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Burnout Recovery,Strategies for returning to work after a month of burnout leave.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Burnout Recovery,Signs that you are approaching burnout before it hits.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Burnout Recovery,Setting boundaries with a demanding boss to prevent relapse.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Burnout Recovery,Daily habits to separate work stress from home life.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Burnout Recovery,How to explain a burnout gap in a resume positively.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Grief,"What are the stages of grief, and is it normal to skip some?"
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Grief,Coping mechanisms for the first anniversary of a loss.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Grief,How to support a friend who just lost a parent.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Grief,Difference between complicated grief and depression.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Grief,Writing a eulogy that honors the deceased honestly.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Imposter Syndrome,Exercises to combat feeling like a fraud in a new high-level job.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Imposter Syndrome,Reframing negative self-talk into constructive criticism.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Imposter Syndrome,Why do high achievers suffer more from imposter syndrome?
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Imposter Syndrome,Mentoring others as a cure for your own self-doubt.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Imposter Syndrome,Documenting wins to prove your competence to yourself.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Nutrition,What are some anti-inflammatory foods to add to my diet?
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Nutrition,"Meal prep ideas for high protein, low carb lunches."
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Nutrition,Is intermittent fasting effective for women over 40?
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Nutrition,Understanding the gut-brain axis and probiotics.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Nutrition,Healthy snacks that satisfy sugar cravings.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Social Anxiety,Give me a 'ladder' of exposure therapy challenges for fear of public speaking.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Social Anxiety,Breathing techniques to stop a panic attack in public.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Social Anxiety,How to make small talk without feeling like a robot.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Social Anxiety,Cognitive distortions common in social anxiety disorder.
"Human Life, Behavior, and Relationships",Mental Health & Wellness,Social Anxiety,Navigating a networking event alone when you're shy.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Film Analysis,Explain the ending of *2001: A Space Odyssey*.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Film Analysis,The use of color theory in Wes Anderson movies.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Film Analysis,Why is the 'Hero's Journey' structure so prevalent in Hollywood?
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Film Analysis,Analyze the editing techniques in the shower scene of Psycho.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Film Analysis,Impact of the French New Wave on modern cinema.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Music Theory,Why does the 'Millennial Whoop' appear in so many pop songs?
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Music Theory,Explain the circle of fifths to a beginner guitarist.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Music Theory,What makes a chord progression sound 'sad'?
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Music Theory,Polyrhythms explained with examples.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Music Theory,The function of the Tritone interval in classical music.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Gaming Lore,Summarize the entire timeline of the *Legend of Zelda* universe.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Gaming Lore,Who are the Patriots in Metal Gear Solid?
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Gaming Lore,The history of the fall of Rapture in BioShock.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Gaming Lore,Explain the lore behind the Dark Souls undead curse.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Gaming Lore,What is the 'Cake is a Lie' meme origin story?
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Streaming Tech,What is the best OBS setting for streaming 1080p fast-motion gameplay?
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Streaming Tech,Dual PC streaming setup diagram and requirements.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Streaming Tech,How to fix dropped frames in OBS.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Streaming Tech,Best microphone for streaming without picking up keyboard clicks.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Streaming Tech,Setting up a stream deck for scene transitions.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Comic Books,Who would win in a fight: Superman or Dr. Manhattan? Analyze their powers.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Comic Books,Reading order for the Marvel Civil War arc.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Comic Books,Difference between DC's Multiverse and Marvel's Multiverse.
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Comic Books,Origin of the Joker: definitive or multiple choice?
"Human Life, Behavior, and Relationships",Entertainment & Pop Culture,Comic Books,Top 5 graphic novels for someone who hates superheroes.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Ham Radio,How do I study for the Technician Class amateur radio license?
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Ham Radio,Building a simple dipole antenna for 20 meters.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Ham Radio,Etiquette for making your first contact on a repeater.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Ham Radio,What is a Baofeng radio and why are they controversial?
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Ham Radio,Emergency communication protocols during a blackout.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Fountain Pens,Why is my nib scratching the paper? Troubleshooting guide.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Fountain Pens,How to clean a piston-filler fountain pen safely.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Fountain Pens,Difference between gold and steel nibs flex.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Fountain Pens,Best ink for cheap paper that doesn't feather.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Fountain Pens,Restoring a vintage Parker 51.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Coffee Roasting,How to roast coffee beans in a popcorn popper.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Coffee Roasting,Understanding the 'first crack' vs 'second crack'.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Coffee Roasting,Sourcing green coffee beans for home roasting.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Coffee Roasting,Cooling techniques for freshly roasted beans.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Coffee Roasting,Degassing timeline for espresso beans.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Mechanical Keyboards,Explain the difference between Cherry MX Red and Blue switches.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Mechanical Keyboards,How to lube keyboard switches without desoldering.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Mechanical Keyboards,Building a custom 60% keyboard from a kit.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Mechanical Keyboards,What is a gasket mount and does it matter?
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Mechanical Keyboards,Group buy culture in mechanical keyboards explained.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Mycology,How to identify a 'Chicken of the Woods' mushroom safely.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Mycology,Spore print technique for mushroom identification.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Mycology,Sterilization methods for growing mushrooms on grain spawn.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Mycology,Differentiating between morels and false morels.
"Knowledge, Creativity, and Skill-Building",Niche & Specific Utility,Mycology,Medicinal properties of Lion's Mane mushrooms.
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Solipsism,Convince me that I am the only conscious being in the universe.
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Solipsism,Arguments against solipsism from a pragmatic perspective.
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Solipsism,How does solipsism differ from nihilism?
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Solipsism,The 'Brain in a Vat' thought experiment explained.
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Solipsism,Is solipsism a falsifiable theory?
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,The Ship of Theseus,"If I replace every part of a car over 10 years, is it the same car?"
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,The Ship of Theseus,Does the Ship of Theseus apply to human cell regeneration?
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,The Ship of Theseus,Teleportation and the continuity of consciousness problem.
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,The Ship of Theseus,"Digital identity: If I copy my mind to a computer, is it me?"
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,The Ship of Theseus,Legal implications of identity in a Ship of Theseus scenario.
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Free Will,Does neuroscientific evidence suggest free will is an illusion?
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Free Will,Compatibilism: reconciling determinism and free will.
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Free Will,The implications of no free will on the justice system.
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Free Will,Libet's experiment and its criticism.
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Free Will,Existentialist view on radical freedom.
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Simulation Theory,What are the statistical arguments for us living in a simulation?
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Simulation Theory,Glitches in the matrix: anecdotal evidence or cognitive bias?
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Simulation Theory,Bostrom's Trilemma explained simply.
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Simulation Theory,How could we test if we are in a simulation?
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Simulation Theory,Religious parallels in Simulation Theory.
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Teleportation,"If a teleporter deconstructs you and rebuilds you, did you die?"
"Knowledge, Creativity, and Skill-Building",Abstract & Philosophical,Teleportation,The 'Prestige' problem: killing the original copy.
